Iteration,DeepLab v3+,FCN16s,GoogLeNet
503,0.288251509,0.116853735,0.230601207
504,0.289170283,0.120233441,0.231336226
505,0.308813644,0.159725789,0.247050915
506,0.284102302,0.096089411,0.227281842
507,0.304698801,0.132606448,0.243759041
508,0.288239711,0.093974439,0.230591769
509,0.282507281,0.13864738,0.226005825
510,0.286318085,0.152719806,0.229054468
511,0.316141036,0.141989555,0.252912829
512,0.291996321,0.107488227,0.233597057
513,0.283123971,0.129555088,0.226499177
514,0.284439383,0.143401394,0.227551506
515,0.278925077,0.149869337,0.223140062
516,0.29564601,0.107038665,0.236516808
517,0.28616373,0.157590476,0.228930984
518,0.279118241,0.134941906,0.223294593
519,0.273973078,0.116848109,0.219178462
520,0.279689446,0.147133791,0.223751556
521,0.27910023,0.188172675,0.223280184
522,0.308172411,0.144124076,0.246537928
523,0.27768295,0.133208661,0.22214636
524,0.283260877,0.111399015,0.226608702
525,0.295924779,0.140657826,0.236739823
526,0.284665487,0.134740841,0.227732389
527,0.299722385,0.154319556,0.239777908
528,0.279324425,0.14276434,0.22345954
529,0.282713958,0.148930715,0.226171167
530,0.284870665,0.145695568,0.227896532
531,0.289994444,0.191231612,0.231995556
532,0.275764654,0.138411798,0.220611723
533,0.293453631,0.135911477,0.234762905
534,0.283815049,0.116866295,0.22705204
535,0.27755574,0.122124717,0.222044592
536,0.27575543,0.132813958,0.220604344
537,0.273956842,0.166866187,0.219165473
538,0.307698579,0.108601406,0.246158863
539,0.273292425,0.16404412,0.21863394
540,0.289278452,0.132591163,0.231422762
541,0.27734207,0.115706753,0.221873656
542,0.296646329,0.105892728,0.237317063
543,0.293326355,0.147602459,0.234661084
544,0.27895426,0.127302175,0.223163408
545,0.279634536,0.152188665,0.223707629
546,0.298285062,0.155490712,0.238628049
547,0.283761186,0.11550289,0.227008949
548,0.287226146,0.120351691,0.229780917
549,0.309726508,0.14380755,0.247781206
550,0.286094181,0.171186524,0.228875345
551,0.299608126,0.149874084,0.2396865
552,0.293512392,0.138241079,0.234809914
553,0.297932095,0.139956554,0.238345676
554,0.291344955,0.175999904,0.233075964
555,0.297035975,0.124648241,0.23762878
556,0.29596929,0.14992543,0.236775432
557,0.310567333,0.149732702,0.248453867
558,0.288312126,0.161828783,0.230649701
559,0.292151755,0.136186105,0.233721404
560,0.295040065,0.100507199,0.236032052
561,0.275460499,0.122573481,0.220368399
562,0.283703292,0.117546982,0.226962634
563,0.27244357,0.134067856,0.217954856
564,0.280088416,0.118781035,0.224070733
565,0.286286503,0.154657303,0.229029202
566,0.292608072,0.127254403,0.234086457
567,0.28084711,0.196347294,0.224677688
568,0.27391697,0.14183261,0.219133576
569,0.283021342,0.129166678,0.226417073
570,0.275983752,0.186777191,0.220787002
571,0.294556142,0.113838193,0.235644913
572,0.286069897,0.124957911,0.228855918
573,0.27573481,0.179500217,0.220587848
574,0.285633454,0.152651399,0.228506763
575,0.275476813,0.174648439,0.22038145
576,0.283263485,0.159556339,0.226610788
577,0.282916322,0.152409695,0.226333058
578,0.297169486,0.186862802,0.237735589
579,0.291662081,0.11450362,0.233329665
580,0.27299025,0.14521045,0.2183922
581,0.278455536,0.113318489,0.222764429
582,0.289080016,0.095568931,0.231264013
583,0.275984829,0.115040047,0.220787863
584,0.287286003,0.154298916,0.229828803
585,0.2748751,0.1512884,0.21990008
586,0.286652679,0.166301035,0.229322143
587,0.287952802,0.144256364,0.230362241
588,0.280779894,0.192213278,0.224623915
589,0.281508789,0.158246434,0.225207031
590,0.29032036,0.129124606,0.232256288
591,0.267708252,0.120807299,0.214166601
592,0.295464322,0.105275223,0.236371458
593,0.314291757,0.149514196,0.251433406
594,0.276745164,0.121008585,0.221396131
595,0.277447751,0.123433255,0.221958201
596,0.291913169,0.196700574,0.233530535
597,0.295404191,0.108847537,0.236323353
598,0.288243666,0.114224373,0.230594932
599,0.289917987,0.167122129,0.23193439
600,0.295572492,0.143886461,0.236457994
601,0.304309242,0.134308225,0.243447393
602,0.311474142,0.120043189,0.249179314
603,0.28480916,0.112832547,0.227847328
604,0.289801976,0.148374389,0.231841581
605,0.280169297,0.112634478,0.224135438
606,0.293656679,0.189775431,0.234925343
607,0.2825782,0.102514723,0.22606256
608,0.283110876,0.158493786,0.226488701
609,0.278571523,0.150409532,0.222857219
610,0.284363922,0.148920456,0.227491138
611,0.275886895,0.14289481,0.220709516
612,0.283319521,0.137030395,0.226655617
613,0.280502805,0.16102522,0.224402244
614,0.326053591,0.126603112,0.260842873
615,0.28205993,0.119353316,0.225647944
616,0.281621307,0.20427137,0.225297046
617,0.281983397,0.127362261,0.225586717
618,0.303060443,0.18106291,0.242448355
619,0.295939444,0.118520615,0.236751555
620,0.306518356,0.180197703,0.245214685
621,0.281694241,0.175222064,0.225355393
622,0.288194285,0.159189089,0.230555428
623,0.307235293,0.135761762,0.245788235
624,0.273841789,0.189785899,0.219073431
625,0.286495601,0.146084066,0.22919648
626,0.297630158,0.152547763,0.238104127
627,0.281558923,0.146292966,0.225247138
628,0.283555411,0.14401071,0.226844329
629,0.288179682,0.156382248,0.230543746
630,0.279401712,0.12994928,0.223521369
631,0.277493401,0.152238394,0.221994721
632,0.315118356,0.123821363,0.252094685
633,0.301257169,0.150272256,0.241005735
634,0.313209833,0.168390311,0.250567866
635,0.294333769,0.139642603,0.235467015
636,0.30782528,0.213773906,0.246260224
637,0.290888666,0.179940797,0.232710933
638,0.325438237,0.106331773,0.26035059
639,0.292737184,0.168928994,0.234189747
640,0.288569034,0.147245801,0.230855227
641,0.294039295,0.148157519,0.235231436
642,0.281245417,0.213724536,0.224996334
643,0.294961381,0.167522939,0.235969105
644,0.292948633,0.125393117,0.234358906
645,0.294382658,0.131258103,0.235506126
646,0.293332921,0.132097578,0.234666336
647,0.298793574,0.113372258,0.239034859
648,0.291138437,0.18766276,0.232910749
649,0.280585664,0.137016034,0.224468531
650,0.306850711,0.138290338,0.245480569
651,0.281758747,0.185203064,0.225406997
652,0.294042382,0.157948552,0.235233906
653,0.274193397,0.137977728,0.219354718
654,0.269298794,0.135422872,0.215439035
655,0.291571198,0.129154751,0.233256958
656,0.297231008,0.111792337,0.237784806
657,0.280034051,0.170452627,0.224027241
658,0.276256548,0.145929337,0.221005238
659,0.276293563,0.119676173,0.22103485
660,0.280489713,0.155762893,0.22439177
661,0.291688003,0.175115549,0.233350403
662,0.303344913,0.131454404,0.242675931
663,0.284735783,0.159394086,0.227788626
664,0.298195503,0.116179894,0.238556402
665,0.284311053,0.114359974,0.227448842
666,0.284334328,0.130495405,0.227467462
667,0.29378596,0.168436509,0.235028768
668,0.292424519,0.130857502,0.233939615
669,0.278589992,0.172403283,0.222871993
670,0.281308105,0.142036126,0.225046484
671,0.284488508,0.194730574,0.227590807
672,0.322166984,0.127041577,0.257733587
673,0.291951902,0.128555216,0.233561521
674,0.278793184,0.172300605,0.223034547
675,0.281306419,0.157738263,0.225045135
676,0.283714881,0.167166114,0.226971904
677,0.309218661,0.149392913,0.247374929
678,0.289736783,0.122675511,0.231789426
679,0.292499179,0.147489913,0.233999343
680,0.283543573,0.171415459,0.226834859
681,0.296948168,0.125108202,0.237558535
682,0.306712097,0.152495339,0.245369678
683,0.284062253,0.172721146,0.227249802
684,0.292345002,0.191496619,0.233876002
685,0.287990038,0.122450907,0.23039203
686,0.302362356,0.166492651,0.241889885
687,0.294084737,0.165148083,0.23526779
688,0.287609038,0.175467851,0.23008723
689,0.297386854,0.130539602,0.237909483
690,0.284470593,0.14273509,0.227576475
691,0.284734462,0.185979139,0.22778757
692,0.281296287,0.142314226,0.22503703
693,0.279606398,0.12610212,0.223685119
